System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:04:46:546, 31066735509159,    0.109,    8.000,  900,   9.714,   1.054,   0.293,   5.848,   0.635,   0.176, 64,  0,   0.000,   0.000,   0.000,   0.109,   0.012,   0.003,  20.000,  39.000, 100.000,   0.000,   0.000,  181,  61.248
01:04:46:663, 31067040015651,    0.225,    8.000,  900,   4.597,   1.590,   0.442,   1.037,   0.756,   0.210, 63,  0,   0.000,   0.000,   0.000,   0.070,   0.020,   0.006,  20.000,  39.000, 100.000,   0.000,   0.000,  186,  53.741
01:04:46:778, 31067340732348,    0.340,    8.000, 2200,   5.007,   2.167,   0.602,   1.420,   0.919,   0.255, 65,  0,   0.000,   0.000,   0.000,   0.041,   0.025,   0.007,  20.000,  39.000, 100.000,   0.000,   0.000,  118,  70.070
01:04:46:920, 31067711874725,    0.482,    6.000,  900,   7.080,   3.173,   0.881,   3.936,   1.479,   0.411, 63,  0,   0.000,   0.000,   0.000,   0.000,   0.025,   0.007,  20.000,  39.000, 100.000,   0.000,   0.000,    3,  74.847
01:04:47:031, 31068000883797,    0.593,    3.000,  800,   4.111,   3.628,   1.008,   0.367,   1.519,   0.422, 63,  0,   0.000,   0.000,   0.000,   0.002,   0.025,   0.007,  20.000,  39.000, 100.000,   0.000,   0.000,    5,  75.363
01:04:47:141, 31068287783160,    0.703,    3.000,  800,   3.288,   3.990,   1.108,   0.469,   1.571,   0.436, 63,  0,   0.000,   0.000,   0.000,   0.003,   0.025,   0.007,  20.000,  39.000, 100.000,   0.000,   0.000,    9,  74.265
01:04:47:251, 31068575250505,    0.813,    3.000, 1700,   3.987,   4.428,   1.230,   0.563,   1.633,   0.454, 64,  0,   0.000,   0.000,   0.000,   0.008,   0.026,   0.007,  20.000,  39.000, 100.000,   0.000,   0.000,  490,   1.812
01:04:47:360, 31068861227356,    0.923,    3.000,  900,   3.563,   4.819,   1.339,   0.551,   1.693,   0.470, 63,  0,   0.000,   0.000,   0.000,   0.000,   0.026,   0.007,  20.000,  39.000, 100.000,   0.000,   0.000,    6,  76.377
01:04:47:477, 31069166943055,    1.040,    6.000, 1700,   4.888,   5.391,   1.497,   1.765,   1.900,   0.528, 63,  0,   0.000,   0.000,   0.000,   0.009,   0.027,   0.008,  20.000,  39.000, 100.000,   0.000,   0.000,  250,  63.967
01:04:47:588, 31069455404177,    1.150,    5.000,  800,   5.594,   6.009,   1.669,   2.073,   2.129,   0.591, 63,  0,   0.000,   0.000,   0.000,   0.019,   0.029,   0.008,  20.000,  39.000, 100.000,   0.000,   0.000,   16,  86.639
01:04:47:713, 31069781713273,    1.275,    3.000,  800,   3.918,   6.498,   1.805,   0.750,   2.222,   0.617, 63,  0,   0.000,   0.000,   0.000,   0.008,   0.031,   0.008,  20.000,  39.000, 100.000,   0.000,   0.000,   13,  74.603
01:04:47:823, 31070069075340,    1.385,    2.000,  800,   4.804,   7.027,   1.952,   1.727,   2.412,   0.670, 63,  0,   0.000,   0.000,   0.000,   0.007,   0.031,   0.009,  20.000,  39.000, 100.000,   0.000,   0.000,    3,  69.843
01:04:47:933, 31070356274379,    1.495,    7.000, 3400,   5.312,   7.611,   2.114,   2.514,   2.689,   0.747, 64,  0,   0.000,   0.000,   0.000,   0.002,   0.031,   0.009,  20.000,  39.000, 100.000,   0.000,   0.000,    7,  77.393
01:04:48:058, 31070684522447,    1.621,    6.000,  800,   6.242,   8.396,   2.332,   2.424,   2.994,   0.832, 63,  0,   0.000,   0.000,   0.000,   0.003,   0.032,   0.009,  20.000,  39.000, 100.000,   0.000,   0.000,  266,  59.361
01:04:48:167, 31070968711462,    1.730,    5.000, 3300,   4.182,   8.851,   2.459,   0.754,   3.076,   0.854, 63,  0,   0.000,   0.000,   0.000,   0.003,   0.032,   0.009,  20.000,  39.000, 100.000,   0.000,   0.000,    0,  78.556
01:04:48:279, 31071259815487,    1.841,    7.000, 2200,   7.189,   9.653,   2.681,   3.778,   3.497,   0.971, 63,  0,   0.000,   0.000,   0.000,   0.091,   0.042,   0.012,  20.000,  39.000, 100.000,   0.000,   0.000,   30,  79.291
01:04:48:396, 31071565963697,    1.958,    6.000, 1300,   5.262,  10.270,   2.853,   1.428,   3.664,   1.018, 63,  0,   0.000,   0.000,   0.000,   0.098,   0.054,   0.015,  20.000,  39.000, 100.000,   0.000,   0.000,   50,  82.335
01:04:48:514, 31071873313421,    2.076,    6.000, 4100,   5.064,  10.866,   3.018,   1.383,   3.827,   1.063, 64,  0,   0.000,   0.000,   0.000,   0.115,   0.067,   0.019,  20.000,  39.000, 100.000,   0.000,   0.000,   58,  82.649
01:04:48:629, 31072174168512,    2.191,    9.000, 2700,   8.343,  11.827,   3.285,   5.007,   4.404,   1.223, 64,  0,   0.000,   0.000,   0.000,   0.131,   0.083,   0.023,  20.000,  39.000, 100.000,   0.000,   0.000,   65,  84.646
01:04:48:746, 31072478433299,    2.308,    6.000, 3000,   8.517,  12.819,   3.561,   4.890,   4.974,   1.382, 64,  0,   0.000,   0.000,   0.000,   0.097,   0.094,   0.026,  20.000,  39.000, 100.000,   0.000,   0.000,   51,  92.586
01:04:48:863, 31072784678237,    2.425,    5.000, 1300,   5.833,  13.503,   3.751,   2.450,   5.261,   1.461, 63,  0,   0.000,   0.000,   0.000,   0.102,   0.106,   0.029,  20.000,  39.000, 100.000,   0.000,   0.000,   50,  84.442
01:04:48:981, 31073092656053,    2.543,    4.000, 1000,   4.183,  13.997,   3.888,   1.056,   5.386,   1.496, 63,  0,   0.000,   0.000,   0.000,   0.058,   0.113,   0.031,  20.000,  39.000, 100.000,   0.000,   0.000,   31,  89.262
01:04:49:092, 31073382221698,    2.654,    8.000, 3300,   7.147,  14.789,   4.108,   3.864,   5.814,   1.615, 66,  0,   0.000,   0.000,   0.000,   0.006,   0.113,   0.032,  20.000,  39.000, 100.000,   0.000,   0.000,  251,  59.733
01:04:49:213, 31073699016773,    2.775,    4.000,  800,   4.633,  15.351,   4.264,   1.570,   6.005,   1.668, 63,  0,   0.000,   0.000,   0.000,   0.000,   0.113,   0.032,  20.000,  39.000, 100.000,   0.000,   0.000,    7,  75.149
01:04:49:324, 31073989158292,    2.886,    2.000,  800,   4.147,  15.812,   4.392,   1.187,   6.136,   1.705, 62,  0,   0.000,   0.000,   0.000,   0.007,   0.114,   0.032,  20.000,  39.000, 100.000,   0.000,   0.000,    8,  73.176
01:04:49:446, 31074307246120,    3.008,    4.000,  900,   3.936,  16.292,   4.525,   0.762,   6.229,   1.730, 62,  0,   0.000,   0.000,   0.000,   0.003,   0.115,   0.032,  20.000,  39.000, 100.000,   0.000,   0.000,   12,  72.667
01:04:49:556, 31074594982108,    3.118,    4.000,  900,   3.823,  16.713,   4.642,   0.713,   6.308,   1.752, 63,  0,   0.000,   0.000,   0.000,   0.004,   0.115,   0.032,  20.000,  39.000, 100.000,   0.000,   0.000,   13,  68.812
01:04:49:683, 31074927280561,    3.246,    6.000,  900,   5.393,  17.399,   4.833,   1.900,   6.550,   1.819, 63,  0,   0.000,   0.000,   0.000,   0.021,   0.118,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,   19,  78.769
01:04:49:794, 31075215971348,    3.356,    2.000,  900,   4.510,  17.898,   4.972,   0.821,   6.640,   1.845, 63,  0,   0.000,   0.000,   0.000,   0.004,   0.118,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,   13,  75.669
01:04:49:904, 31075502875413,    3.466,    2.000,  900,   4.003,  18.338,   5.094,   0.984,   6.749,   1.875, 63,  0,   0.000,   0.000,   0.000,   0.008,   0.119,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,    3,  81.750
01:04:50:013, 31075788769161,    3.576,    2.000,  800,   3.319,  18.701,   5.195,   0.234,   6.774,   1.882, 62,  0,   0.000,   0.000,   0.000,   0.003,   0.119,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,    7,  73.015
01:04:50:123, 31076075231036,    3.685,    2.000,  800,   3.375,  19.071,   5.298,   0.412,   6.819,   1.894, 63,  0,   0.000,   0.000,   0.000,   0.003,   0.120,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,   11,  73.299
01:04:50:233, 31076362615884,    3.795,    8.000, 2200,   6.068,  19.739,   5.483,   2.803,   7.128,   1.980, 64,  0,   0.000,   0.000,   0.000,   0.007,   0.120,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,  209,  59.979
01:04:50:359, 31076692808415,    3.922,    6.000,  900,   5.754,  20.467,   5.685,   2.446,   7.437,   2.066, 63,  0,   0.000,   0.000,   0.000,   0.001,   0.121,   0.033,  20.000,  39.000, 100.000,   0.000,   0.000,    5,  74.815
01:04:50:478, 31077002583425,    4.040,    3.000,  900,   4.636,  21.017,   5.838,   1.377,   7.601,   2.111, 63,  0,   0.000,   0.000,   0.000,   0.006,   0.121,   0.034,  20.000,  39.000, 100.000,   0.000,   0.000,    9,  71.381
01:04:50:588, 31077289958136,    4.151,    4.000,  800,   3.619,  21.415,   5.949,   0.517,   7.657,   2.127, 63,  0,   0.000,   0.000,   0.000,   0.003,   0.122,   0.034,  20.000,  39.000, 100.000,   0.000,   0.000,   21,  87.911
01:04:50:716, 31077623838675,    4.278,    6.000, 1000,   6.761,  22.280,   6.189,   3.319,   8.082,   2.245, 63,  0,   0.000,   0.000,   0.000,   0.025,   0.125,   0.035,  20.000,  39.000, 100.000,   0.000,   0.000,   21,  52.182
01:04:50:826, 31077911451392,    4.389,    2.000,  800,   3.457,  22.660,   6.295,   0.399,   8.126,   2.257, 63,  0,   0.000,   0.000,   0.000,   0.009,   0.126,   0.035,  20.000,  39.000, 100.000,   0.000,   0.000,   16,  72.861
01:04:50:951, 31078238240321,    4.514,    3.000,  900,   3.767,  23.132,   6.425,   0.600,   8.201,   2.278, 63,  0,   0.000,   0.000,   0.000,   0.007,   0.127,   0.035,  20.000,  39.000, 100.000,   0.000,   0.000,    2,  68.222
01:04:51:062, 31078528055285,    4.625,    3.000,  800,   3.877,  23.562,   6.545,   0.426,   8.248,   2.291, 62,  0,   0.000,   0.000,   0.000,   0.000,   0.127,   0.035,  20.000,  39.000, 100.000,   0.000,   0.000,    5,  75.275
01:04:51:173, 31078816528169,    4.735,    3.000,  800,   3.912,  23.994,   6.665,   0.441,   8.297,   2.305, 62,  0,   0.000,   0.000,   0.000,   0.003,   0.127,   0.035,  20.000,  39.000, 100.000,   0.000,   0.000,    7,  73.162
01:04:51:293, 31079131260880,    4.856,    5.000,  800,   4.551,  24.543,   6.817,   1.346,   8.459,   2.350, 63,  0,   0.000,   0.000,   0.000,   0.005,   0.128,   0.035,  20.000,  39.000, 100.000,   0.000,   0.000,   14,  70.483
01:04:51:413, 31079442905826,    4.975,    9.000, 4100,  10.842,  25.837,   7.177,   7.331,   9.334,   2.593, 63,  0,   0.000,   0.000,   0.000,   0.009,   0.129,   0.036,  20.000,  39.000, 100.000,   0.000,   0.000,  257,  59.899
01:04:51:524, 31079732870249,    5.086,    4.000,  900,   4.043,  26.286,   7.302,   0.836,   9.427,   2.619, 63,  0,   0.000,   0.000,   0.000,   0.002,   0.129,   0.036,  20.000,  39.000, 100.000,   0.000,   0.000,    6,  72.702
01:04:51:634, 31080022622804,    5.197,    3.000,  900,   3.850,  26.713,   7.420,   0.765,   9.512,   2.642, 63,  0,   0.000,   0.000,   0.000,   0.007,   0.129,   0.036,  20.000,  39.000, 100.000,   0.000,   0.000,   20,  73.298
01:04:51:761, 31080353449225,    5.324,    6.000,  900,   7.324,  27.641,   7.678,   3.871,  10.002,   2.778, 62,  0,   0.000,   0.000,   0.000,   0.024,   0.132,   0.037,  20.000,  39.000, 100.000,   0.000,   0.000,   16,  83.227
01:04:51:872, 31080642856565,    5.435,    2.000,  900,   3.659,  28.046,   7.791,   0.506,  10.058,   2.794, 63,  0,   0.000,   0.000,   0.000,   0.004,   0.133,   0.037,  20.000,  39.000, 100.000,   0.000,   0.000,    5,  73.474
01:04:51:982, 31080930300047,    5.545,    3.000,  900,   3.454,  28.427,   7.896,   0.337,  10.095,   2.804, 63,  0,   0.000,   0.000,   0.000,   0.004,   0.133,   0.037,  20.000,  39.000, 100.000,   0.000,   0.000,    7,  74.665
01:04:52:092, 31081218067040,    5.655,    1.000,  900,   3.643,  28.828,   8.008,   0.541,  10.155,   2.821, 63,  0,   0.000,   0.000,   0.000,   0.006,   0.134,   0.037,  20.000,  39.000, 100.000,   0.000,   0.000,  263,  60.542
01:04:52:202, 31081504406992,    5.765,    3.000,  900,   3.459,  29.207,   8.113,   0.317,  10.190,   2.831, 61,  0,   0.000,   0.000,   0.000,   0.000,   0.134,   0.037,  20.000,  39.000, 100.000,   0.000,   0.000,    8,  74.463
01:04:52:328, 31081832821869,    5.890,    2.000,  900,   3.698,  29.673,   8.242,   0.632,  10.269,   2.853, 62,  0,   0.000,   0.000,   0.000,   0.007,   0.135,   0.037,  20.000,  39.000, 100.000,   0.000,   0.000,    8,  73.429
01:04:52:444, 31082136424355,    6.007,    6.000, 2200,   5.185,  30.275,   8.410,   1.655,  10.462,   2.906, 64,  0,   0.000,   0.000,   0.000,   0.004,   0.135,   0.038,  20.000,  39.000, 100.000,   0.000,   0.000,   11,  87.825
01:04:52:572, 31082470208501,    6.134,    7.000,  900,   7.474,  31.231,   8.675,   4.014,  10.975,   3.049, 63,  0,   0.000,   0.000,   0.000,   0.005,   0.136,   0.038,  20.000,  39.000, 100.000,   0.000,   0.000,   18,  72.813
01:04:52:699, 31082801744076,    6.261,    3.000, 1000,   4.495,  31.801,   8.834,   1.228,  11.131,   3.092, 62,  0,   0.000,   0.000,   0.000,   0.010,   0.137,   0.038,  20.000,  39.000, 100.000,   0.000,   0.000,   12,  72.175
01:04:52:811, 31083094666628,    6.374,    7.000,  900,   7.232,  32.613,   9.059,   3.870,  11.565,   3.212, 62,  0,   0.000,   0.000,   0.000,   0.032,   0.141,   0.039,  20.000,  39.000, 100.000,   0.000,   0.000,   22,  77.379
01:04:52:921, 31083380797640,    6.483,    2.000,  900,   3.704,  33.019,   9.172,   0.730,  11.645,   3.235, 63,  0,   0.000,   0.000,   0.000,   0.005,   0.141,   0.039,  20.000,  39.000, 100.000,   0.000,   0.000,    8,  73.310
01:04:53:030, 31083667358255,    6.593,    4.000, 1900,   3.811,  33.437,   9.288,   0.521,  11.702,   3.251, 62,  0,   0.000,   0.000,   0.000,   0.004,   0.142,   0.039,  20.000,  39.000, 100.000,   0.000,   0.000,   12,  77.087
01:04:53:146, 31083968772183,    6.708,    5.000, 2400,   5.129,  34.029,   9.452,   1.850,  11.915,   3.310, 63,  0,   0.000,   0.000,   0.000,   0.051,   0.148,   0.041,  20.000,  39.000, 100.000,   0.000,   0.000,   32,  93.126
01:04:53:263, 31084273231486,    6.825,    6.000, 3000,   7.870,  34.947,   9.707,   4.512,  12.442,   3.456, 63,  0,   0.000,   0.000,   0.000,   0.093,   0.159,   0.044,  20.000,  39.000, 100.000,   0.000,   0.000,   52,  91.429
01:04:53:379, 31084577764505,    6.942,    7.000, 2700,   6.203,  35.670,   9.908,   2.869,  12.776,   3.549, 62,  0,   0.000,   0.000,   0.000,   0.089,   0.169,   0.047,  20.000,  39.000, 100.000,   0.000,   0.000,   51,  87.928
01:04:53:495, 31084879548644,    7.057,    5.000, 1400,   5.028,  36.251,  10.070,   1.609,  12.962,   3.601, 63,  0,   0.000,   0.000,   0.000,   0.011,   0.170,   0.047,  20.000,  39.000, 100.000,   0.000,   0.000,   12,  75.868
01:04:53:613, 31085189684607,    7.176,   11.000, 1500,  10.254,  37.469,  10.408,   6.872,  13.778,   3.827, 68,  0,   0.000,   0.000,   0.000,   0.077,   0.179,   0.050,  20.000,  39.000, 100.000,   0.000,   0.000,   34,  91.245
01:04:53:746, 31085535958953,    7.308,    8.000, 1400,   8.114,  38.545,  10.707,   4.447,  14.368,   3.991, 63,  0,   0.000,   0.000,   0.000,   0.110,   0.194,   0.054,  20.000,  39.000, 100.000,   0.000,   0.000,   46,  86.812
01:04:53:864, 31085842995430,    7.426,    9.000, 1500,   8.753,  39.574,  10.993,   5.236,  14.984,   4.162, 62,  0,   0.000,   0.000,   0.000,   0.111,   0.207,   0.057,  20.000,  39.000, 100.000,   0.000,   0.000,   62,  88.965
01:04:53:980, 31086147225809,    7.543,    7.000, 2800,   4.830,  40.137,  11.149,   1.640,  15.175,   4.215, 63,  0,   0.000,   0.000,   0.000,   0.099,   0.218,   0.061,  20.000,  39.000, 100.000,   0.000,   0.000,   55,  90.349
01:04:54:096, 31086448136721,    7.658,    6.000, 2800,   6.813,  40.922,  11.367,   3.402,  15.567,   4.324, 64,  0,   0.000,   0.000,   0.000,   0.094,   0.229,   0.064,  20.000,  39.000, 100.000,   0.000,   0.000,   51,  89.868
01:04:54:211, 31086750885430,    7.774,    5.000,  900,   8.268,  41.881,  11.634,   4.846,  16.129,   4.480, 63,  0,   0.000,   0.000,   0.000,   0.164,   0.248,   0.069,  20.000,  39.000, 100.000,   0.000,   0.000,  215,  55.760
01:04:54:327, 31087053528453,    7.890,    3.000,  800,   3.646,  42.303,  11.751,   0.516,  16.189,   4.497, 63,  0,   0.000,   0.000,   0.000,   0.031,   0.252,   0.070,  20.000,  39.000, 100.000,   0.000,   0.000,   56,  82.964
